id,pop,lat,lon,treat,species
RLP164-1,Walkers Ridge,-33.062013,151.266431,Freeze ,Prostanthera sp. Olney SF
RLP152-1,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
RLP162-1,Walkers Ridge,-33.062013,151.266431,Freeze ,Prostanthera sp. Olney SF
JJB3542a-1,Middle Brother Mtn NP,-31.703,152.684,Freeze ,Prostanthera lanceolata
RLP206-1,Mooney Mooney,-33.508861,151.190194,Freeze ,Prostanthera sp. Hawkesbury
RLP200-1,Mt Stanley,-24.196768,151.366141,Freeze ,Prostanthera맖valifolia
RLP173-1,Old North Rd,-33.388242,150.985479,SiGel ,Prostanthera sp. Hawkesbury
RLP195-1,Mt Stanley,-24.196768,151.366141,Freeze ,Prostanthera맖valifolia
JJB3563-1,NENP,-30.5765,152.3322,Freeze ,Prostanthera lanceolata
NJS239-1,Nymboida,-30.19083,152.6939,Herb ,Prostanthera lanceolata
RLP160b-1,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
RLP143-1,Broken Back Trail,-32.807576,151.162784,SiGel ,Prostanthera cineolifera
JJB3563a-1,NENP,-30.5765,152.3322,Freeze ,Prostanthera lanceolata
RLP119-1,Tabbimoble Ck,-29.306869,153.224648,Freeze ,Prostanthera lanceolata
RLP184d-1,Mt Ninderry,-26.552541,152.99461,Freeze ,Prostanthera맖valifolia
RLP228-1,Cousins Creek,-32.527,150.1659,Freeze ,Prostanthera cineolifera
RLP188a-1,Mt Maria,-24.543864,151.843848,Freeze ,Prostanthera맖valifolia
RLP228A-1,Cousins Creek,-32.527,150.1659,Freeze ,Prostanthera cineolifera
RLP228D-1,Cousins Creek,-32.527,150.1659,Freeze ,Prostanthera cineolifera
RLP165-1,Walkers Ridge,-33.062013,151.266431,Freeze ,Prostanthera sp. Olney SF
RLP113-1,Minyon Falls,-28.612264,153.389762,Freeze ,Prostanthera lanceolata
RLP138-1,Sawpit Rd,-32.850581,151.17852,SiGel ,Prostanthera cineolifera
JJB3515-1,Dandahra Ck,#N/A,#N/A,Herb ,Prostanthera sp. Dandahra Ck
RLP201-1,Mt Stanley,-24.196768,151.366141,Freeze ,Prostanthera맖valifolia
RLP121e-1,Pillar Valley,-29.767556,153.15764,Freeze ,Prostanthera lanceolata
RLP163-1,Walkers Ridge,-33.062013,151.266431,Freeze ,Prostanthera sp. Olney SF
RLP188d-1,Mt Maria,-24.543864,151.843848,Freeze ,Prostanthera맖valifolia
RLP160-1,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
RLP167-1,Bicentenary Rd,-33.401551,150.956433,Freeze ,Prostanthera sp. Hawkesbury
RLP208-1,Wallaby Rocks,-32.297619,150.662626,Freeze ,Prostanthera cineolifera
RLP184c-1,Mt Ninderry,-26.552541,152.99461,Freeze ,Prostanthera맖valifolia
RLP210-1,Wallaby Rocks,-32.297619,150.662626,Freeze ,Prostanthera cineolifera
NJS296-1,Dandahra Ck,#N/A,#N/A,Herb ,Prostanthera sp. Dandahra Ck
RLP152a-1,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
RLP152b-1,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
RLP120-1,Tabbimoble Ck,-29.306869,153.224648,Freeze ,Prostanthera lanceolata
RLP170-1,Bicentenary Rd,-33.401551,150.956433,Freeze ,Prostanthera sp. Hawkesbury
JJB3532a-1,Werrikimbe National Park,-31.157,152.368,Freeze ,Prostanthera말ncisa
RLP145-1,Broken Back Trail,-32.807576,151.162784,SiGel ,Prostanthera cineolifera
RLP155-1,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
JJB3532-1,Werrikimbe National Park,-31.157,152.368,Freeze ,Prostanthera말ncisa
RLP161-1,Walkers Ridge,-33.062013,151.266431,Freeze ,Prostanthera sp. Olney SF
RLP168-1,Bicentenary Rd,-33.401551,150.956433,Freeze ,Prostanthera sp. Hawkesbury
RLP206a-1,Mooney Mooney,-33.508861,151.190194,Freeze ,Prostanthera sp. Hawkesbury
RLP229A-1,Cousins Creek,-32.527,150.1659,Freeze ,Prostanthera cineolifera
RLP110a-1,Bar Mountain,-28.455226,153.12173,Freeze ,Prostanthera lanceolata
JJB3542-1,Middle Brother Mtn NP,-31.703,152.684,Freeze ,Prostanthera lanceolata
RLP137-1,Sawpit Rd,-32.850581,151.17852,SiGel ,Prostanthera cineolifera
RLP184b-1,Mt Ninderry,-26.552541,152.99461,Freeze ,Prostanthera맖valifolia
RLP122a-1,Sherwood NR,-30.026375,153.011981,Freeze ,Prostanthera lanceolata
RLP180-1,Wingen Maid,-31.902656,150.83192,Freeze ,Prostanthera cineolifera
RLP177-1,Wingen Maid,-31.902656,150.83192,Freeze ,Prostanthera cineolifera
RLP201a-1,Mt Stanley,-24.196768,151.366141,Freeze ,Prostanthera맖valifolia
RLP184-1,Mt Ninderry,-26.552541,152.99461,Freeze ,Prostanthera맖valifolia
RLP181-1,Wingen Maid,-31.902656,150.83192,Freeze ,Prostanthera cineolifera
RLP107-1,Tamborine,-27.94054,153.1962,Freeze ,Prostanthera lanceolata
RLP229-1,Cousins Creek,-32.527,150.1659,Freeze ,Prostanthera cineolifera
RLP173a-1,Old North Rd,-33.388242,150.985479,Freeze ,Prostanthera sp. Hawkesbury
RLP200a-1,Mt Stanley,-24.196768,151.366141,Freeze ,Prostanthera맖valifolia
RLP195a-1,Mt Stanley,-24.196768,151.366141,Freeze ,Prostanthera맖valifolia
RLP188-1,Mt Maria,-24.543864,151.843848,Freeze ,Prostanthera맖valifolia
RLP110-1,Bar Mountain,-28.455226,153.12173,Freeze ,Prostanthera lanceolata
RLP135-1,Sawpit Rd,-32.850581,151.17852,SiGel ,Prostanthera cineolifera
MRD105-1,Old North Rd,-33.388242,150.985479,SiGel ,Prostanthera sp. Hawkesbury
RLP122-1,Sherwood NR,-30.026375,153.011981,Freeze ,Prostanthera lanceolata
RLP184a-1,Mt Ninderry,-26.552541,152.99461,Freeze ,Prostanthera맖valifolia
RLP169-1,Bicentenary Rd,-33.401551,150.956433,Freeze ,Prostanthera sp. Hawkesbury
RLP121a-1,Pillar Valley,-29.767556,153.15764,Freeze ,Prostanthera lanceolata
RLP182-1,Wingen Maid,-31.902656,150.83192,Freeze ,Prostanthera cineolifera
RLP188c-1,Mt Maria,-24.543864,151.843848,Freeze ,Prostanthera맖valifolia
RLP188b-1,Mt Maria,-24.543864,151.843848,Freeze ,Prostanthera맖valifolia
RLP147-1,Broken Back Trail,-32.807576,151.162784,Freeze ,Prostanthera cineolifera
RLP178-1,Wingen Maid,-31.902656,150.83192,Freeze ,Prostanthera cineolifera
RLP160c-1,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
RLP114-1,Minyon Falls,-28.612264,153.389762,Freeze ,Prostanthera lanceolata
RLP139-1,Sawpit Rd,-32.850581,151.17852,SiGel ,Prostanthera cineolifera
RLP174-1,Old North Rd,-33.388242,150.985479,Freeze ,Prostanthera sp. Hawkesbury
RLP228C-1,Cousins Creek,-32.527,150.1659,Freeze ,Prostanthera cineolifera
RLP207-1,Wallaby Rocks,-32.297619,150.662626,Freeze ,Prostanthera cineolifera
RLP174b-1,Old North Rd,-33.388242,150.985479,Freeze ,Prostanthera sp. Hawkesbury
NJS274-1,Blue Mtns,#N/A,#N/A,Herb ,Prostanthera말ncisa
RLP160a-1,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
RLP160f-1,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
RLP144-1,Broken Back Trail,-32.807576,151.162784,SiGel ,Prostanthera cineolifera
RLP104-1,Tamborine,-27.94054,153.1962,Freeze ,Prostanthera lanceolata
RLP155a-1,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
PGW1890-1,Carrai,-30.98139,152.3553,Herb ,Prostanthera lanceolata
RLP136-1,Sawpit Rd,-32.850581,151.17852,SiGel ,Prostanthera cineolifera
RLP142-1,Broken Back Trail,-32.807576,151.162784,SiGel ,Prostanthera cineolifera
RLP228B-1,Cousins Creek,-32.527,150.1659,Freeze ,Prostanthera cineolifera
RLP179-1,Wingen Maid,-31.902656,150.83192,Freeze ,Prostanthera cineolifera
RLP158e-2,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
RLP158a-2,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
RLP172-2,Bicentenary Rd,-33.401551,150.956433,Freeze ,Prostanthera sp. Hawkesbury
JJB3532-2,Werrikimbe National Park,-31.157,152.368,Freeze ,Prostanthera말ncisa
RLP171-2,Bicentenary Rd,-33.401551,150.956433,Freeze ,Prostanthera sp. Hawkesbury
RLP207-2,Wallaby Rocks,-32.297619,150.662626,Freeze ,Prostanthera cineolifera
RLP160d-2,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
MFD4027-2,Paradise Rocks,-31.02306,152.0247,Herb ,Prostanthera sp. OWRNP
RLP146-2,Broken Back Trail,-32.807576,151.162784,SiGel ,Prostanthera cineolifera
RLP160e-2,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
RLP154-2,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
JRN155a-2,Launceston,#N/A,#N/A,Herb ,Prostanthera rotundifolia
RLP153-2,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
JJB3540-2,Girraween,#N/A,#N/A,Si gel ,Prostanthera petraea
JRN155-2,Launceston,#N/A,#N/A,Si gel ,Prostanthera rotundifolia
NJS366-2,Barren Mtn,#N/A,#N/A,Herb ,Prostanthera sp. Barren Mtn
NJS428-2,Barren Mtn,#N/A,#N/A,Herb ,Prostanthera sp. Barren Mtn
RLP206-2,Mooney Mooney,-33.508861,151.190194,Freeze ,Prostanthera sp. Hawkesbury
RLP184e-2,Mt Ninderry,-26.552541,152.99461,Freeze ,Prostanthera맖valifolia
NJS543-2,Warrumbungle,#N/A,#N/A,Herb ,Prostanthera cotinifolia
NJS292-2,Ulan,#N/A,#N/A,Herb ,Prostanthera sp. Ulan
RLP158b-2,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
RLP228E-2,Cousins Creek,-32.527,150.1659,Freeze ,Prostanthera cineolifera
JJB3532a-2,Werrikimbe National Park,-31.157,152.368,Freeze ,Prostanthera말ncisa
RLP161-2,Walkers Ridge,-33.062013,151.266431,Freeze ,Prostanthera sp. Olney SF
RLP140-2,Sawpit Rd,-32.850581,151.17852,SiGel ,Prostanthera cineolifera
RLP152c-2,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
RLP201b-2,Mt Stanley,-24.196768,151.366141,Freeze ,Prostanthera맖valifolia
RLP162-2,Walkers Ridge,-33.062013,151.266431,Freeze ,Prostanthera sp. Olney SF
JRN158-2,Genoa Falls,#N/A,#N/A,Freeze ,Prostanthera rotundifolia
NJS542-2,Blue Mtns,#N/A,#N/A,Herb ,Prostanthera sp. Blue Mtns
RLP188e-2,Mt Maria,-24.543864,151.843848,Freeze ,Prostanthera맖valifolia
RLP173-2,Old North Rd,-33.388242,150.985479,SiGel ,Prostanthera sp. Hawkesbury
RLP119-2,Tabbimoble Ck,-29.306869,153.224648,Freeze ,Prostanthera lanceolata
RLP182-2,Wingen Maid,-31.902656,150.83192,Freeze ,Prostanthera cineolifera
RLP148-2,Broke Cessnock Rd,-32.744199,151.219464,Freeze ,Prostanthera cineolifera
RLP166-2,Walkers Ridge,-33.062013,151.266431,Freeze ,Prostanthera sp. Olney SF
NJS427-2,Barren Mtn,#N/A,#N/A,Herb ,Prostanthera sp. Barren Mtn
RLP185-2,Mt Ninderry,-26.552541,152.99461,Freeze ,Prostanthera맖valifolia
RLP156-2,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
NJS274-2,Blue Mtns,#N/A,#N/A,Herb ,Prostanthera말ncisa
RLP121-2,Pillar Valley,-29.767556,153.15764,Freeze ,Prostanthera lanceolata
RLP158c-2,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
JRN104-2,Grampians,#N/A,#N/A,Herb ,Prostanthera sp. Grampians
RLP110-2,Bar Mountain,-28.455226,153.12173,Freeze ,Prostanthera lanceolata
LMC4355-2,Garabaldi Hstd,#N/A,#N/A,Herb ,Prostanthera sp. OWRNP
NJS296-2,Dandahra Ck,#N/A,#N/A,Herb ,Prostanthera sp. Dandahra Ck
JJB3532e-2,Werrikimbe National Park,-31.157,152.368,Freeze ,Prostanthera말ncisa
RLP176-2,Old North Rd,-33.388242,150.985479,Freeze ,Prostanthera sp. Hawkesbury
JJB3515-2,Dandahra Ck,#N/A,#N/A,Herb ,Prostanthera sp. Dandahra Ck
JRN137-2,Blue Mtns,#N/A,#N/A,Herb ,Prostanthera sp. Blue Mtns
RLP122-2,Sherwood NR,-30.026375,153.011981,Freeze ,Prostanthera lanceolata
RLP158d-2,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
RLP107-2,Tamborine,-27.94054,153.1962,Freeze ,Prostanthera lanceolata
RLP155c-2,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
JJB3563-2,NENP,-30.5765,152.3322,Freeze ,Prostanthera lanceolata
RLP195b-2,Mt Stanley,-24.196768,151.366141,Freeze ,Prostanthera맖valifolia
RLP200b-2,Mt Stanley,-24.196768,151.366141,Freeze ,Prostanthera맖valifolia
JJB3540a-2,Girraween,#N/A,#N/A,Si gel ,Prostanthera petraea
RLP113-2,Minyon Falls,-28.612264,153.389762,Freeze ,Prostanthera lanceolata
RLP188f-2,Mt Maria,-24.543864,151.843848,Freeze ,Prostanthera맖valifolia
IRT13512-2,Tapin Tops,#N/A,#N/A,Herb ,Prostanthera맓atifolia
RLP158-2,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
LMC3770-2,Mt Marsh,-29.3375,152.8167,Herb ,Prostanthera sp. Mt Marsh
NJS424-2,Tapin Tops,#N/A,#N/A,Herb ,Prostanthera맓atifolia
JJB3542-2,Middle Brother Mtn NP,-31.703,152.684,Freeze ,Prostanthera lanceolata
